2026-04-10 15:28:38 | PUT | meus-planos-api/itens/1
2026-04-10 15:28:38 | PUT | meus-planos-api/itens/1
2026-04-10 15:28:41 | GET | meus-planos-api/categorias
2026-04-10 15:28:43 | GET | meus-planos-api/itens
rias
2026-04-10 15:28:55 | GET | meus-planos-api/categorias
2026-04-10 15:28:57 | GET | meus-planos-api/categorias
2026-04-10 15:28:57 | GET | meus-planos-api/itens
2026-04-10 15:32:10 | OPTIONS | meus-planos-api/itens/1
2026-04-10 15:32:10 | DELETE | meus-planos-api/itens/1
2026-04-10 15:32:10 | GET | meus-planos-api/itens
2026-04-10 15:32:12 | GET | meus-planos-api/categorias
2026-04-10 15:32:13 | OPTIONS | meus-planos-api/categorias/1
2026-04-10 15:32:13 | DELETE | meus-planos-api/categorias/1
2026-04-10 15:32:13 | GET | meus-planos-api/categorias
2026-04-10 15:32:31 | GET | meus-planos-api/categorias
2026-04-10 15:32:31 | GET | meus-planos-api/itens
2026-04-10 15:32:33 | GET | meus-planos-api/categorias
2026-04-10 15:32:37 | POST | meus-planos-api/categorias
2026-04-10 15:32:37 | GET | meus-planos-api/categorias
2026-04-10 15:32:38 | GET | meus-planos-api/categorias
2026-04-10 15:32:43 | OPTIONS | meus-planos-api/itens
2026-04-10 15:32:43 | POST | meus-planos-api/itens
2026-04-10 15:32:43 | GET | meus-planos-api/itens
2026-04-10 15:32:51 | OPTIONS | meus-planos-api/itens
2026-04-10 15:32:51 | POST | meus-planos-api/itens
2026-04-10 15:32:51 | GET | meus-planos-api/itens
2026-04-10 15:33:22 | OPTIONS | meus-planos-api/itens
2026-04-10 15:33:22 | POST | meus-planos-api/itens
2026-04-10 15:33:22 | GET | meus-planos-api/itens
2026-04-10 15:33:24 | OPTIONS | meus-planos-api/itens/4
2026-04-10 15:33:24 | PUT | meus-planos-api/itens/4
2026-04-10 15:33:25 | OPTIONS | meus-planos-api/itens/3
2026-04-10 15:33:25 | PUT | meus-planos-api/itens/3
2026-04-10 15:33:42 | OPTIONS | meus-planos-api/itens/4
2026-04-10 15:33:42 | PUT | meus-planos-api/itens/4
2026-04-10 15:33:43 | PUT | meus-planos-api/itens/4
2026-04-10 15:33:48 | OPTIONS | meus-planos-api/itens/4
2026-04-10 15:33:48 | PUT | meus-planos-api/itens/4
2026-04-10 15:33:50 | PUT | meus-planos-api/itens/4
2026-04-10 15:35:35 | GET | meus-planos-api/categorias
2026-04-10 15:35:35 | GET | meus-planos-api/itens
2026-04-10 15:46:33 | GET | meus-planos-api/itens
rias
2026-04-10 15:49:18 | GET | meus-planos-api/itens
2026-04-10 15:49:18 | GET | meus-planos-api/categorias
2026-04-10 15:51:25 | GET | meus-planos-api/itens
rias
2026-04-10 15:51:26 | GET | meus-planos-api/categorias
2026-04-10 15:51:31 | GET | meus-planos-api/itens
rias
2026-04-10 15:52:15 | OPTIONS | meus-planos-api/itens/3
2026-04-10 15:52:15 | PUT | meus-planos-api/itens/3
2026-04-10 15:52:16 | OPTIONS | meus-planos-api/itens/4
2026-04-10 15:52:16 | PUT | meus-planos-api/itens/4
2026-04-10 15:52:17 | PUT | meus-planos-api/itens/4
2026-04-10 15:52:18 | PUT | meus-planos-api/itens/3
2026-04-10 15:52:23 | OPTIONS | meus-planos-api/itens/4
2026-04-10 15:52:23 | PUT | meus-planos-api/itens/4
2026-04-10 15:52:23 | OPTIONS | meus-planos-api/itens/3
2026-04-10 15:52:23 | PUT | meus-planos-api/itens/3
2026-04-10 15:52:34 | OPTIONS | meus-planos-api/itens/4
2026-04-10 15:52:34 | PUT | meus-planos-api/itens/4
2026-04-10 15:52:35 | OPTIONS | meus-planos-api/itens/2
2026-04-10 15:52:35 | PUT | meus-planos-api/itens/2
2026-04-10 15:52:37 | GET | meus-planos-api/categorias
2026-04-10 15:58:27 | GET | meus-planos-api/itens
2026-04-10 15:58:27 | GET | meus-planos-api/categorias
2026-04-10 16:01:28 | GET | meus-planos-api/categorias
2026-04-10 16:01:29 | GET | meus-planos-api/itens
rias
2026-04-10 16:01:30 | GET | meus-planos-api/categorias
2026-04-10 16:01:32 | GET | meus-planos-api/categorias
2026-04-10 16:01:34 | GET | meus-planos-api/categorias
2026-04-10 16:01:38 | POST | meus-planos-api/categorias
2026-04-10 16:01:38 | GET | meus-planos-api/categorias
2026-04-10 16:01:39 | GET | meus-planos-api/itens
rias
2026-04-10 16:01:46 | OPTIONS | meus-planos-api/itens
2026-04-10 16:01:46 | POST | meus-planos-api/itens
2026-04-10 16:01:46 | GET | meus-planos-api/itens
2026-04-10 16:01:48 | OPTIONS | meus-planos-api/itens/5
2026-04-10 16:01:48 | PUT | meus-planos-api/itens/5
2026-04-10 16:14:36 | GET | meus-planos-api/categorias
2026-04-10 16:32:19 | GET | meus-planos-api/categorias
2026-04-10 16:32:19 | GET | meus-planos-api/itens
2026-04-10 16:32:25 | GET | meus-planos-api/itens
rias
2026-04-10 16:32:38 | GET | meus-planos-api/categorias
2026-04-10 16:32:38 | GET | meus-planos-api/itens
2026-04-10 16:32:42 | GET | meus-planos-api/itens
rias
2026-04-10 16:32:53 | GET | meus-planos-api/itens
2026-04-10 16:32:53 | GET | meus-planos-api/categorias
2026-04-10 16:32:53 | GET | meus-planos-api/categorias
2026-04-10 16:32:53 | GET | meus-planos-api/itens
2026-04-10 16:38:17 | GET | meus-planos-api/itens
rias
2026-04-10 16:39:03 | GET | meus-planos-api/categorias
2026-04-10 16:39:03 | GET | meus-planos-api/categorias
2026-04-10 16:39:03 | GET | meus-planos-api/itens
