07-04-2026 15:37:31 | GET | cafeteria-api/produtos
07-04-2026 15:38:44 | GET | cafeteria-api/produtos
07-04-2026 15:38:54 | GET | cafeteria-api/produtos
07-04-2026 15:38:56 | GET | cafeteria-api/produtos
07-04-2026 15:39:00 | GET | cafeteria-api/produtos
07-04-2026 15:39:46 | GET | cafeteria-api/produtos
07-04-2026 15:39:52 | GET | cafeteria-api/produtos
07-04-2026 15:39:59 | GET | cafeteria-api/produtos
07-04-2026 15:40:03 | GET | cafeteria-api/produtos
07-04-2026 15:40:05 | GET | cafeteria-api/produtos
07-04-2026 15:40:12 | GET | cafeteria-api/pedidos
07-04-2026 15:40:39 | GET | cafeteria-api/pedidos
07-04-2026 15:40:41 | GET | cafeteria-api/pedidos
07-04-2026 15:40:58 | GET | cafeteria-api/pedidos
07-04-2026 15:41:07 | GET | cafeteria-api/pedidos
07-04-2026 15:41:11 | GET | cafeteria-api/pedidos
07-04-2026 15:41:13 | GET | cafeteria-api/pedidos
07-04-2026 15:41:19 | GET | cafeteria-api/pedidos
07-04-2026 15:41:20 | GET | cafeteria-api/pedidos
07-04-2026 15:42:35 | GET | cafeteria-api/pedidos
07-04-2026 15:42:36 | GET | cafeteria-api/pedidos
07-04-2026 15:42:46 | GET | cafeteria-api/pedidos
07-04-2026 15:42:48 | GET | cafeteria-api/pedidos
07-04-2026 15:42:53 | GET | cafeteria-api/pedidos
07-04-2026 15:43:00 | GET | cafeteria-api/pedidos
07-04-2026 15:43:00 | GET | cafeteria-api/pedidos
07-04-2026 15:43:05 | GET | cafeteria-api/pedidos
07-04-2026 15:43:05 | GET | cafeteria-api/categorias
07-04-2026 15:43:06 | GET | cafeteria-api/produtos
07-04-2026 15:43:10 | GET | cafeteria-api/pedidos
07-04-2026 15:43:11 | GET | cafeteria-api/produtos
07-04-2026 15:43:11 | GET | cafeteria-api/categorias
07-04-2026 15:43:12 | GET | cafeteria-api/produtos
07-04-2026 15:43:13 | GET | cafeteria-api/pedidos
07-04-2026 15:45:28 | GET | cafeteria-api/pedidos
07-04-2026 15:45:29 | GET | cafeteria-api/pedidos
07-04-2026 15:45:31 | GET | cafeteria-api/pedidos
07-04-2026 15:45:37 | GET | cafeteria-api/pedidos
07-04-2026 15:46:09 | GET | cafeteria-api/pedidos
07-04-2026 15:46:13 | GET | cafeteria-api/pedidos
07-04-2026 15:46:15 | GET | cafeteria-api/pedidos
07-04-2026 15:46:17 | GET | cafeteria-api/pedidos
07-04-2026 15:46:23 | GET | cafeteria-api/pedidos
07-04-2026 15:46:24 | GET | cafeteria-api/pedidos
07-04-2026 15:46:24 | GET | cafeteria-api/pedidos
07-04-2026 15:46:26 | GET | cafeteria-api/pedidos
07-04-2026 15:46:26 | GET | cafeteria-api/pedidos
07-04-2026 15:46:32 | GET | cafeteria-api/pedidos
07-04-2026 15:46:35 | GET | cafeteria-api/pedidos
07-04-2026 15:46:51 | GET | cafeteria-api/pedidos
07-04-2026 15:55:17 | GET | cafeteria-api/pedidos
07-04-2026 15:55:28 | GET | cafeteria-api/pedidos.php
07-04-2026 16:00:29 | GET | cafeteria-api/pedidos
07-04-2026 16:00:36 | GET | cafeteria-api/pedidos
07-04-2026 16:00:36 | GET | cafeteria-api/pedidos
07-04-2026 16:00:51 | GET | cafeteria-api/pedidos
07-04-2026 16:00:51 | GET | cafeteria-api/pedidos
07-04-2026 16:01:23 | GET | cafeteria-api/pedidos
07-04-2026 16:03:01 | GET | cafeteria-api/pedidos
07-04-2026 16:03:01 | GET | cafeteria-api/pedidos
07-04-2026 16:03:11 | GET | cafeteria-api/pedidos
07-04-2026 16:03:19 | OPTIONS | cafeteria-api/pedidos
07-04-2026 16:03:19 | POST | cafeteria-api/pedidos
07-04-2026 16:03:20 | POST | cafeteria-api/pedidos
07-04-2026 16:03:20 | POST | cafeteria-api/pedidos
07-04-2026 16:03:20 | POST | cafeteria-api/pedidos
07-04-2026 16:03:22 | POST | cafeteria-api/pedidos
07-04-2026 16:03:22 | POST | cafeteria-api/pedidos
07-04-2026 16:03:22 | POST | cafeteria-api/pedidos
07-04-2026 16:03:22 | POST | cafeteria-api/pedidos
07-04-2026 16:03:22 | POST | cafeteria-api/pedidos
07-04-2026 16:03:22 | POST | cafeteria-api/pedidos
